test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
46,1,200,1000,32,0.853380525,0.80409701,0.954972035,0.9913333333333333,0.9912434325744308,0.9915661087323213,0.9913302254696243
47,1,200,1000,64,0.89368443,0.930839575,0.981295265,0.9968666666666667,0.9969244569698736,0.9968108773205744,0.9968639313318219
48,1,200,1000,128,0.8866707749999999,0.9490760250000001,0.9841349450000001,0.9998,0.9998054474708171,0.9997943233237351,0.9997998453124513
49,25,50,50,32,0.843365745,0.9100478350000001,0.9531465849999999,0.9924666666666667,0.9925695117426057,0.9923706949672649,0.9924594824301737
50,25,50,50,64,0.7328837699999999,0.91345962,0.961254285,0.575,0.7667910447761195,0.5864149474503698,0.4952933072662421
51,25,50,50,128,0.8557696350000001,0.8547361499999999,0.956045155,0.6189333333333333,0.780305942040126,0.6291682885688336,0.5645257539184708
52,25,50,100,32,0.8347370900000001,0.8945247649999999,0.9523287349999999,0.5676,0.7646418462878293,0.5792137018295056,0.4828598415264408
53,25,50,100,64,0.54985471,0.9104362749999999,0.950452335,0.9952666666666666,0.9951903800629507,0.9953643354028031,0.9952639538383762
54,25,50,100,128,0.7792452400000001,0.8766617700000001,0.941602745,0.9932666666666666,0.9931701379496889,0.9934475152458804,0.99326373357651
55,25,50,500,32,0.631233275,0.6047334249999999,0.501928205,0.5792666666666667,0.7126156879445766,0.567932494924,0.4858068653868012
56,25,50,500,64,0.5237417799999999,0.8789852199999999,0.905706825,0.49666666666666665,0.7456713602371489,0.510185545607889,0.3494277123826408
57,25,50,500,128,0.81245696,0.89185808,0.9609226350000001,0.974,0.9746192893401016,0.9746983261969637,0.9739999334398296
58,25,50,1000,32,0.7094155850000001,0.7366183399999999,0.497364115,0.6572666666666667,0.799705597528381,0.6475424185794437,0.6028361377922667
59,25,50,1000,64,0.6373180949999999,0.898014015,0.864489465,0.5213333333333333,0.7519519104539487,0.5341896976774361,0.39906677581146577
60,25,50,1000,128,0.83058722,0.9081980749999999,0.8972102550000001,0.8929333333333334,0.9097191296147247,0.8958053219954165,0.8922552115782935
61,25,100,50,32,0.716979485,0.8987329799999999,0.912746185,0.4956,0.7454068241469816,0.5091475282210977,0.3471917129689452
62,25,100,50,64,0.871053545,0.912098655,0.9635293650000001,0.557,0.7616229014205769,0.5688984040482679,0.4646155860143765
63,25,100,50,128,0.482265945,0.9167199899999999,0.8299895949999999,0.5587333333333333,0.7298545454545455,0.5702868750632816,0.47323924587426847
64,25,100,100,32,0.8806478600000001,0.9134032649999999,0.9789592250000001,0.9902666666666666,0.990183884922912,0.9905207257347023,0.9902634651209045
65,25,100,100,64,0.807059195,0.54874716,0.9653780650000001,0.9924666666666667,0.9924627183474949,0.9924590822971974,0.9924608959013183
66,25,100,100,128,0.8865115699999999,0.92236689,0.979670055,0.9960666666666667,0.9959960719278151,0.9961538968591381,0.9960643363164701
67,25,100,500,32,0.8669521699999999,0.8003244500000001,0.964789785,0.9915333333333334,0.9916145468638278,0.991451381337581,0.9915255358847401
68,25,100,500,64,0.87193494,0.939334275,0.9778359649999999,0.9928666666666667,0.9927707564222304,0.9930324790879367,0.9928633983885927
69,25,100,500,128,0.865911605,0.9284481,0.9796224050000001,0.9953333333333333,0.995254642636821,0.9954365771003053,0.9953307032533667
70,25,100,1000,32,0.68783248,0.62608123,0.8189038449999999,0.5381333333333334,0.7564165670487307,0.5505384715193979,0.4307868215361784
