test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
53,25,50,100,64,0.28356704,0.5117015699999999,0.7676786200000001,0.9973076923076923,0.9962327824438201,0.9971328527759371,0.9966815302748989
54,25,50,100,128,0.610099315,0.30259331,0.7869315100000001,0.9984615384615385,0.997938392515183,0.9982672228925371,0.9981026368939454
55,25,50,500,32,0.49716081500000003,0.15298694000000002,0.5816294799999999,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
56,25,50,500,64,0.427857635,0.61203496,0.7407067399999999,0.9878461538461538,0.9896190889194301,0.9803799244185414,0.9848644617709759
57,25,50,500,128,0.559637255,0.261240575,0.76228582,0.9944615384615385,0.993006875672521,0.9933324493567406,0.9931694928182033
58,25,50,1000,32,0.55484887,0.23033638,0.46959476999999994,0.7156923076923077,0.3585356454720617,0.4986600921856576,0.4171449067431851
59,25,50,1000,64,0.54882485,0.42159748500000005,0.72508171,0.9862307692307692,0.9863518357693232,0.9795848272824883,0.9828948523936389
60,25,50,1000,128,0.576338615,0.3495374,0.74127014,0.9953846153846154,0.9932707901398274,0.9953799131766017,0.9943182056578783
61,25,100,50,32,0.5601549450000001,0.7381330800000001,0.7697106499999999,0.9911538461538462,0.9927702088460755,0.985410575640165,0.9890050885553334
62,25,100,50,64,0.19802738,0.19337178,0.76716951,0.9984615384615385,0.9977754551730335,0.9984324356065344,0.9981032627528224
63,25,100,50,128,0.39227041500000004,0.33636969000000005,0.7836364200000001,0.9973076923076923,0.9971293923544073,0.9962241828489522,0.9966754939972975
64,25,100,100,32,0.555961245,0.79942914,0.76345989,0.9961538461538462,0.9956623381888061,0.9948419936613564,0.9952510990856276
65,25,100,100,64,0.34735205999999996,0.24644469,0.70377616,0.9971538461538462,0.99743663518827,0.9955387457248144,0.9964820212746435
66,25,100,100,128,0.287021515,0.6094578800000001,0.79759285,0.9976153846153846,0.9973448790052499,0.9967689935272415,0.997056412610606
67,25,100,500,32,0.5714211250000001,0.26015538499999996,0.72116321,0.8278461538461539,0.9003968289251939,0.6959218827101274,0.7279335642453646
68,25,100,500,64,0.47878635,0.15428471500000002,0.72470574,0.9956153846153846,0.9956142387948822,0.9935581495463557,0.9945795101049014
69,25,100,500,128,0.540596935,0.21377891499999999,0.7622166699999999,0.9973076923076923,0.9974605505696494,0.9958937574209576,0.9966732877015153
70,25,100,1000,32,0.307818295,0.12048531500000001,0.8417277599999999,0.7173846153846154,0.35877510194660306,0.4998392110622789,0.41771925109737523
71,25,100,1000,64,0.58111723,0.7406680400000001,0.72867841,0.9960769230769231,0.9959373613019002,0.9943753655637895,0.9951525049364938
