test_id,num_epochs,seed,flowmiagan_auc,domias_auc,dcr_auc
1,30,1,0.830695365,0.971772885,0.99995
2,50,1,0.82130168,0.9746866849999999,0.99995
3,100,1,0.7827529550000001,0.9844378500000001,0.99995
4,120,1,0.786791525,0.98566571,0.99995
5,30,2,0.8308667,0.9696669499999999,0.99995
6,50,2,0.8271806199999999,0.96884967,0.99995
7,100,2,0.7995450850000001,0.970213385,0.99995
8,120,2,0.8106418899999999,0.9714268299999999,0.99995
9,30,25,0.83552898,0.9650886750000001,0.99995
10,50,25,0.8299368900000001,0.9650508299999999,0.99995
11,100,25,0.82084033,0.9819492699999999,0.99995
12,120,25,0.812954905,0.9818703499999999,0.99995
13,30,42,0.8343959650000001,0.978297205,0.99995
14,50,42,0.83067334,0.9693123749999999,0.99995
15,100,42,0.81566134,0.9797456750000001,0.99995
16,120,42,0.8200205749999998,0.980276685,0.99995
17,30,123,0.8316028550000001,0.980957115,0.99995
18,50,123,0.8305452400000001,0.970223685,0.99995
19,100,123,0.828899465,0.9728920249999999,0.99995
20,120,123,0.8162133049999999,0.97623955,0.99995
